replacement,prefetcher,sets,ways,trace,hit_rate
ship,no,512,8,456.hmmer-191B.champsimtrace,0.9638663677459665
lru,no,512,16,437.leslie3d-273B.champsimtrace,0.24881701401697584
ship,no,512,16,437.leslie3d-273B.champsimtrace,0.06820084293949986
ship,no,256,8,625.x264_s-39B.champsimtrace,0.4123613308463434
ship_spp,dev,512,8,625.x264_s-39B.champsimtrace,0.47658636035822566
ship_spp,dev,1024,16,456.hmmer-191B.champsimtrace,0.8361675866561525
ship,no,1024,8,437.leslie3d-149B.champsimtrace,0.1378489504436269
lru,no,512,8,456.hmmer-327B.champsimtrace,0.5744456611406478
ship_spp,dev,512,8,437.leslie3d-273B.champsimtrace,0.07269630970862763
ship_spp,dev,1024,16,456.hmmer-327B.champsimtrace,0.7103612883122279
lru,no,512,8,437.leslie3d-273B.champsimtrace,0.24865816306349842
lru,no,1024,8,437.leslie3d-149B.champsimtrace,0.3364266467203541
ship,no,512,16,625.x264_s-39B.champsimtrace,0.6121303925177195
ship_spp,dev,512,16,625.x264_s-12B.champsimtrace,0.2963124590879337
ship_spp,dev,1024,8,625.x264_s-39B.champsimtrace,0.5178890767847614
ship_spp,dev,1024,16,625.x264_s-12B.champsimtrace,0.5422278738555443
ship,no,1024,16,625.x264_s-39B.champsimtrace,0.6462229144175236
ship_spp,dev,1024,8,456.hmmer-327B.champsimtrace,0.7093357136254391
ship,no,256,8,437.leslie3d-273B.champsimtrace,0.023138564675962012
ship_spp,dev,512,16,625.x264_s-39B.champsimtrace,0.49572743848996736
ship,no,512,8,456.hmmer-327B.champsimtrace,0.29412964884752174
lru,no,1024,16,437.leslie3d-149B.champsimtrace,0.34169890206508885
ship,no,256,8,456.hmmer-327B.champsimtrace,0.1576726271382984
lru,no,1024,16,456.hmmer-327B.champsimtrace,0.6488107470187944
ship,no,512,16,456.hmmer-191B.champsimtrace,1.0
ship,no,1024,16,456.hmmer-327B.champsimtrace,0.40055367019340293
lru,no,1024,8,456.hmmer-191B.champsimtrace,1.0
lru,no,256,8,456.hmmer-327B.champsimtrace,0.5209993247805537
ship,no,1024,8,625.x264_s-39B.champsimtrace,0.6425514092566157
lru,no,1024,16,625.x264_s-39B.champsimtrace,0.7453621553766435
ship_spp,dev,1024,16,437.leslie3d-149B.champsimtrace,0.10940349410455279
lru,no,512,16,625.x264_s-39B.champsimtrace,0.7309890809988143
lru,no,1024,8,456.hmmer-327B.champsimtrace,0.5990323911183134
lru,no,512,16,437.leslie3d-149B.champsimtrace,0.3364955439255637
lru,no,1024,8,437.leslie3d-273B.champsimtrace,0.2488146564696454
ship,no,512,8,625.x264_s-12B.champsimtrace,0.18624541333908914
lru,no,1024,8,625.x264_s-39B.champsimtrace,0.7291203605389207
ship_spp,dev,512,16,456.hmmer-191B.champsimtrace,0.8361675866561525
ship_spp,dev,512,8,456.hmmer-327B.champsimtrace,0.6563655571241251
ship_spp,dev,1024,16,437.leslie3d-273B.champsimtrace,0.08103322225753146
lru,no,512,8,625.x264_s-39B.champsimtrace,0.7038119914670291
ship,no,512,16,456.hmmer-327B.champsimtrace,0.2971764581547458
ship,no,256,8,456.hmmer-191B.champsimtrace,0.5763048991142636
ship,no,1024,16,437.leslie3d-273B.champsimtrace,0.13487498290353464
lru,no,1024,16,437.leslie3d-273B.champsimtrace,0.24882195936533705
lru,no,512,16,456.hmmer-327B.champsimtrace,0.5994627641226248
ship_spp,dev,256,8,456.hmmer-327B.champsimtrace,0.5989652718348669
ship,no,1024,8,456.hmmer-191B.champsimtrace,1.0
ship_spp,dev,512,16,437.leslie3d-273B.champsimtrace,0.07274253315611828
lru,no,256,8,437.leslie3d-273B.champsimtrace,0.24566756068596704
lru,no,1024,16,625.x264_s-12B.champsimtrace,0.3176753096079648
ship_spp,dev,512,16,437.leslie3d-149B.champsimtrace,0.10436887542574856
ship,no,256,8,437.leslie3d-149B.champsimtrace,0.025939861611555756
lru,no,512,16,625.x264_s-12B.champsimtrace,0.24776063026116987
ship,no,1024,8,456.hmmer-327B.champsimtrace,0.4004289067281991
ship,no,1024,8,437.leslie3d-273B.champsimtrace,0.12442163628653294
ship,no,512,8,437.leslie3d-149B.champsimtrace,0.06202692536204293
ship,no,1024,8,625.x264_s-12B.champsimtrace,0.3485416722877263
ship,no,512,16,625.x264_s-12B.champsimtrace,0.3357796184874403
ship,no,512,8,625.x264_s-39B.champsimtrace,0.6024613809076033
ship_spp,dev,1024,16,625.x264_s-39B.champsimtrace,0.5759645674822588
lru,no,512,16,456.hmmer-191B.champsimtrace,1.0
ship_spp,dev,256,8,437.leslie3d-273B.champsimtrace,0.06589961057738605
lru,no,1024,8,625.x264_s-12B.champsimtrace,0.25021584286639326
ship_spp,dev,512,16,456.hmmer-327B.champsimtrace,0.657131752476998
ship,no,512,16,437.leslie3d-149B.champsimtrace,0.06871438783555288
ship,no,512,8,437.leslie3d-273B.champsimtrace,0.06225158384120637
ship_spp,dev,1024,8,437.leslie3d-273B.champsimtrace,0.08074005633671968
ship,no,256,8,625.x264_s-12B.champsimtrace,0.09157133606734297
ship_spp,dev,256,8,625.x264_s-39B.champsimtrace,0.4378248562495685
lru,no,1024,16,456.hmmer-191B.champsimtrace,1.0
lru,no,256,8,625.x264_s-39B.champsimtrace,0.667774834983985
